date,holiday_name
2019-01-01,Neujahr
2019-04-19,Karfreitag
2019-04-22,Ostermontag
2019-05-01,Erster Mai
2019-05-30,Christi Himmelfahrt
2019-06-10,Pfingstmontag
2019-10-03,Tag der Deutschen Einheit
2019-12-25,Erster Weihnachtstag
2019-12-26,Zweiter Weihnachtstag
2020-01-01,Neujahr
2020-04-10,Karfreitag
2020-04-13,Ostermontag
2020-05-01,Erster Mai
2020-05-21,Christi Himmelfahrt
2020-06-01,Pfingstmontag
2020-10-03,Tag der Deutschen Einheit
2020-12-25,Erster Weihnachtstag
2020-12-26,Zweiter Weihnachtstag
2021-01-01,Neujahr
2021-04-02,Karfreitag
2021-04-05,Ostermontag
2021-05-01,Erster Mai
2021-05-13,Christi Himmelfahrt
2021-05-24,Pfingstmontag
2021-10-03,Tag der Deutschen Einheit
2021-12-25,Erster Weihnachtstag
2021-12-26,Zweiter Weihnachtstag
2022-01-01,Neujahr
2022-04-15,Karfreitag
2022-04-18,Ostermontag
2022-05-01,Erster Mai
2022-05-26,Christi Himmelfahrt
2022-06-06,Pfingstmontag
2022-10-03,Tag der Deutschen Einheit
2022-12-25,Erster Weihnachtstag
2022-12-26,Zweiter Weihnachtstag
2023-01-01,Neujahr
2023-04-07,Karfreitag
2023-04-10,Ostermontag
2023-05-01,Erster Mai
2023-05-18,Christi Himmelfahrt
2023-05-29,Pfingstmontag
2023-10-03,Tag der Deutschen Einheit
2023-12-25,Erster Weihnachtstag
2023-12-26,Zweiter Weihnachtstag
2024-01-01,Neujahr
2024-03-29,Karfreitag
2024-04-01,Ostermontag
2024-05-01,Erster Mai
2024-05-09,Christi Himmelfahrt
2024-05-20,Pfingstmontag
2024-10-03,Tag der Deutschen Einheit
2024-12-25,Erster Weihnachtstag
2024-12-26,Zweiter Weihnachtstag
2025-01-01,Neujahr
2025-04-18,Karfreitag
2025-04-21,Ostermontag
2025-05-01,Erster Mai
2025-05-29,Christi Himmelfahrt
2025-06-09,Pfingstmontag
2025-10-03,Tag der Deutschen Einheit
2025-12-25,Erster Weihnachtstag
2025-12-26,Zweiter Weihnachtstag
2026-01-01,Neujahr
2026-04-03,Karfreitag
2026-04-06,Ostermontag
2026-05-01,Erster Mai
2026-05-14,Christi Himmelfahrt
2026-05-25,Pfingstmontag
2026-10-03,Tag der Deutschen Einheit
2026-12-25,Erster Weihnachtstag
2026-12-26,Zweiter Weihnachtstag
2027-01-01,Neujahr
2027-03-26,Karfreitag
2027-03-29,Ostermontag
2027-05-01,Erster Mai
2027-05-06,Christi Himmelfahrt
2027-05-17,Pfingstmontag
2027-10-03,Tag der Deutschen Einheit
2027-12-25,Erster Weihnachtstag
2027-12-26,Zweiter Weihnachtstag
2028-01-01,Neujahr
2028-04-14,Karfreitag
2028-04-17,Ostermontag
2028-05-01,Erster Mai
2028-05-25,Christi Himmelfahrt
2028-06-05,Pfingstmontag
2028-10-03,Tag der Deutschen Einheit
2028-12-25,Erster Weihnachtstag
2028-12-26,Zweiter Weihnachtstag
2029-01-01,Neujahr
2029-03-30,Karfreitag
2029-04-02,Ostermontag
2029-05-01,Erster Mai
2029-05-10,Christi Himmelfahrt
2029-05-21,Pfingstmontag
2029-10-03,Tag der Deutschen Einheit
2029-12-25,Erster Weihnachtstag
2029-12-26,Zweiter Weihnachtstag
2030-01-01,Neujahr
2030-04-19,Karfreitag
2030-04-22,Ostermontag
2030-05-01,Erster Mai
2030-05-30,Christi Himmelfahrt
2030-06-10,Pfingstmontag
2030-10-03,Tag der Deutschen Einheit
2030-12-25,Erster Weihnachtstag
2030-12-26,Zweiter Weihnachtstag
